PASSPORT_NO,FULL_NAME,ROLE,EMBASSY,EMERGENCY_FREQ_MHZ,CLEARANCE
US-545399X,Nikolai Chen,First Secretary,United Kingdom,119.5,Level 3
CN-406841B,Carlos Koval,Military Attaché,Ostania,162.3,Level 1
RU-478165C,Gaston Smith,First Secretary,United States,124.4,Level 3
CN-589435B,Sarah Koval,First Secretary,United States,117.8,Level 2
JP-820905B,Gaston Smith,Ambassador,Federal Republic of Germany,176.6,Level 1
CN-782248A,Sarah Smith,Counselor,Ostania,140.3,Level 4
JP-121973A,Carlos Vance,Liaison Officer,Westalis,183.0,Level 5
RU-716713A,Sarah Müller,Liaison Officer,Empire of Japan,199.8,Level 3
UK-441426B,Michael Novak,Ambassador,Federal Republic of Germany,159.0,Level 3
RU-340156X,Arjun Smith,Liaison Officer,United States,183.1,Level 1
UK-988144X,Gaston Smith,Counselor,United States,115.7,Level 3
RU-607918B,Sophia Zheng,Attaché,Ostania,118.1,Level 1
CN-570513X,Hans Garcia,Attaché,Federal Republic of Germany,144.8,Level 1
FR-125248B,Pierre Chen,Counselor,Westalis,168.1,Level 4
RU-295456X,Elena Zheng,Military Attaché,United States,153.1,Level 3
FR-287567A,Nikolai Zheng,Attaché,Federal Republic of Germany,145.4,Level 3
DE-230200X,Michael Dubois,Attaché,United Kingdom,168.4,Level 2
FR-473780C,Sophia Zheng,First Secretary,Federal Republic of Germany,190.2,Level 1
UK-670150B,Nikolai Haddad,Ambassador,Westalis,153.4,Level 3
FR-193601C,Fatima Smith,Ambassador,Empire of Japan,102.4,Level 1
UK-107441A,Elena Smith,Attaché,Federal Republic of Germany,168.6,Level 3
US-279774A,Sophia Chen,Counselor,United Kingdom,148.5,Level 5
RU-862673C,Pierre Müller,Liaison Officer,Westalis,105.6,Level 5
CN-321164X,Pierre Garcia,Military Attaché,Westalis,114.6,Level 5
RU-612956C,Arjun Dubois,First Secretary,United Kingdom,184.2,Level 4
CN-213682A,Sophia Garcia,First Secretary,Republic of France,178.4,Level 4
US-377404B,Elena Patel,Liaison Officer,Federal Republic of Germany,111.4,Level 2
FR-378621B,Hans Dubois,Military Attaché,Empire of Japan,150.7,Level 2
DE-819627B,Sophia Vance,Ambassador,United States,112.0,Level 5
UK-746845C,Hans Smith,Liaison Officer,Westalis,144.1,Level 1
US-517480B,Sarah Patel,Counselor,Westalis,115.5,Level 5
FR-195811A,Nikolai Garcia,Attaché,Federal Republic of Germany,137.3,Level 3
DE-135300C,Nikolai Zheng,Counselor,United Kingdom,195.6,Level 2
US-293408A,John Haddad,Liaison Officer,Federal Republic of Germany,130.5,Level 3
RU-386539C,Pierre Müller,Attaché,Republic of France,177.6,Level 4
CN-553544C,Sophia Koval,First Secretary,Empire of Japan,189.0,Level 2
DE-683402X,Fatima Volkov,Military Attaché,Empire of Japan,102.0,Level 1
UK-273607C,Hans Müller,Counselor,United Kingdom,166.5,Level 5
FR-244560A,Sophia Koval,First Secretary,United States,107.1,Level 1
US-288646B,Nikolai Chen,First Secretary,United Kingdom,161.5,Level 4
RU-618326C,Carlos Müller,Counselor,Ostania,116.2,Level 2
DE-452089C,Wei Koval,Ambassador,Federal Republic of Germany,148.9,Level 3
US-487829B,Hans Dubois,Attaché,Ostania,114.8,Level 2
FR-442068B,Elena Garcia,First Secretary,Westalis,126.7,Level 3
US-925512A,Sophia Patel,Military Attaché,United Kingdom,113.4,Level 5
RU-578637C,Arjun Dubois,Ambassador,Federal Republic of Germany,173.3,Level 3
FR-601456C,Arjun Haddad,Liaison Officer,United States,146.2,Level 2
UK-901174A,Hans Haddad,Attaché,Empire of Japan,175.7,Level 1
US-609595A,Sarah Patel,Liaison Officer,Federal Republic of Germany,176.3,Level 1
JP-370866B,Sophia Müller,Counselor,Westalis,141.4,Level 5
JP-458475A,Fatima Novak,Attaché,Republic of France,195.4,Level 2
FR-849552A,Michael Müller,Liaison Officer,Federal Republic of Germany,106.3,Level 2
RU-313594X,John Haddad,Attaché,Empire of Japan,196.2,Level 4
FR-220215A,Gaston Zheng,Counselor,United Kingdom,134.9,Level 4
JP-174919C,Gaston Smith,Military Attaché,Federal Republic of Germany,120.9,Level 4
JP-163415C,Michael Volkov,Attaché,Ostania,180.1,Level 4
RU-647528A,Sarah Chen,Military Attaché,United States,131.4,Level 3
DE-422943A,Wei Koval,Military Attaché,Ostania,174.5,Level 1
UK-414526B,Michael Zheng,Counselor,Republic of France,147.3,Level 3
JP-937927X,Wei Haddad,First Secretary,United States,174.2,Level 4
CN-581991C,Sophia Garcia,Liaison Officer,Empire of Japan,155.3,Level 4
UK-189819X,Gaston Smith,First Secretary,Empire of Japan,118.8,Level 3
RU-753895B,Sophia Chen,Military Attaché,Westalis,109.4,Level 2
CN-452814X,Wei Garcia,Ambassador,Empire of Japan,101.7,Level 2
DE-908799B,Sophia Dubois,Military Attaché,United States,164.8,Level 2
UK-593361B,John Dubois,Ambassador,Empire of Japan,147.4,Level 3
RU-372756A,Sophia Vance,First Secretary,Republic of France,112.7,Level 3
FR-994120A,Gaston Dubois,Attaché,Republic of France,142.8,Level 4
UK-248395B,Sarah Müller,Liaison Officer,Federal Republic of Germany,186.7,Level 5
UK-120598C,Fatima Haddad,First Secretary,Ostania,110.6,Level 2
CN-261995B,Sarah Zheng,Military Attaché,United Kingdom,131.5,Level 1
JP-468135A,Carlos Müller,Military Attaché,Empire of Japan,161.9,Level 4
RU-607470X,Wei Garcia,First Secretary,Westalis,137.0,Level 2
JP-921849A,Pierre Vance,Ambassador,Federal Republic of Germany,198.8,Level 4
JP-480445C,Sarah Patel,Attaché,United Kingdom,169.7,Level 2
US-484034B,Fatima Smith,Liaison Officer,United Kingdom,177.1,Level 1
US-960843C,Sophia Haddad,Liaison Officer,United Kingdom,113.6,Level 5
US-906127X,Carlos Koval,First Secretary,Federal Republic of Germany,130.2,Level 5
US-923064A,Gaston Smith,Military Attaché,Westalis,136.2,Level 4
US-690881X,Wei Vance,First Secretary,United Kingdom,153.6,Level 1
CN-796351B,Pierre Haddad,First Secretary,Empire of Japan,192.7,Level 1
UK-812594B,Arjun Garcia,Counselor,United Kingdom,154.3,Level 3
JP-211181C,Pierre Chen,First Secretary,Ostania,130.7,Level 5
JP-594922B,Sarah Vance,Counselor,Federal Republic of Germany,104.3,Level 5
UK-989093B,Carlos Dubois,First Secretary,Federal Republic of Germany,116.6,Level 4
RU-128584A,Pierre Koval,Counselor,Westalis,142.3,Level 4
DE-552243A,Sarah Vance,Liaison Officer,Empire of Japan,135.6,Level 3
CN-616573B,Nikolai Novak,Ambassador,Westalis,117.5,Level 3
FR-228240B,Sophia Chen,Liaison Officer,United States,178.5,Level 5
DE-702262B,Sarah Chen,Counselor,Republic of France,181.9,Level 3
UK-428004A,Carlos Patel,Attaché,Empire of Japan,115.9,Level 5
FR-851237X,Wei Haddad,Liaison Officer,Empire of Japan,130.0,Level 5
DE-264904A,Sophia Koval,Military Attaché,Westalis,159.4,Level 2
CN-862153C,Sophia Zheng,First Secretary,Ostania,182.5,Level 3
CN-198903A,Gaston Volkov,Ambassador,Westalis,103.2,Level 1
JP-681281C,Wei Vance,Military Attaché,Ostania,147.9,Level 3
JP-383303C,Gaston Chen,Counselor,Republic of France,142.4,Level 3
US-656033C,Nikolai Müller,Military Attaché,Ostania,198.2,Level 4
DE-807303X,Gaston Smith,Ambassador,Federal Republic of Germany,104.5,Level 4
CN-212787B,Hans Dubois,Ambassador,United Kingdom,164.6,Level 4
RU-921750B,Sarah Novak,Ambassador,Westalis,110.7,Level 1
RU-154244B,Arjun Chen,Military Attaché,Ostania,156.1,Level 2
CN-592088A,Fatima Müller,Ambassador,Ostania,179.4,Level 5
