CALLSIGN,REAL_NAME,FREQ_MHZ,SECTOR,STATUS
IRONHAWK,Magda Weiss,150.7,WEST-8,Dormant
BRONZEELK,Vera Adler,168.9,NORTH-2,Dormant
REDFOX,Sergei Brandt,167.7,EAST-4,Active
STORMCROW,Petra Falk,199.3,WEST-7,Active
DARKMOTH,Klaus Frost,180.6,WEST-7,KIA
PEWTERGULL,Sonja Richter,114.5,NORTH-1,Active
BLUEJAY,Josef Schmidt,104.4,EAST-3,Active
SLATEHERON,Nadia Bauer,160.5,NORTH-1,Missing
BLACKBIRD,Ivan Richter,120.7,SOUTH-5,Missing
ZINCWREN,Magda Adler,179.4,NORTH-2,Dormant
JADEFALCON,Magda Vogel,195.2,CENTRAL-9,Dormant
GRAYWOLF,Lukas Frost,151.6,EAST-4,Missing
TINHARE,Elsa Richter,148.8,SOUTH-6,Active
FROSTWOLF,Anton Vogel,101.5,CENTRAL-9,Missing
GREENADDER,Nadia Falk,103.2,NORTH-2,Active
ASHRAVEN,Magda Krause,181.6,NORTH-1,Missing
NIGHTOWL,Stefan Adler,177.1,WEST-7,KIA
SNOWLEOPARD,Stefan Sommer,129.6,NORTH-1,Dormant
ONYXLARK,Sergei Kraus,146.7,SOUTH-5,Missing
COPPERFOX,Karl Wolf,143.3,CENTRAL-9,Missing
SILVERFOX,Marta Lang,106.5,NORTH-1,Active
WHITEBEAR,Milan Roth,129.7,SOUTH-6,KIA
BRASSTERN,Josef Hahn,150.2,NORTH-1,Dormant
FLINTCROW,Erik Vogel,164.8,EAST-4,Active
STEELKITE,Pavel Keller,124.0,EAST-3,Active
SANDVIPER,Ivan Richter,191.5,EAST-3,Missing
COLDIRON,Marta Koch,154.3,CENTRAL-9,KIA
GOLDFINCH,Petra Brandt,115.5,EAST-3,Missing
LEADCAT,Josef Falk,146.0,NORTH-2,Active
DUSTHAWK,Josef Krause,191.3,WEST-7,Active
